,target_Z,target_A,phase,energy,stopping_power,percentage_error,publication_year
0,2,4.0026,0,66.0,7.0251,2.0,1983
1,2,4.0026,0,85.0,7.0583,2.0,1983
2,2,4.0026,0,96.0,7.065,2.0,1983
3,2,4.0026,0,154.0,6.2275,2.0,1983
4,2,4.0026,0,200.0,5.5629,2.0,1983
5,2,4.0026,0,300.0,4.3533,2.0,1983
6,2,4.0026,0,400.0,3.6156,2.0,1983
7,2,4.0026,0,500.0,3.0772,2.0,1983
8,2,4.0026,0,600.0,2.6917,2.0,1983
9,2,4.0026,0,700.0,2.4126,2.0,1983
10,2,4.0026,0,800.0,2.2066,2.0,1983
11,2,4.0026,0,100.0,7.02,4.0,1971
12,2,4.0026,0,200.0,5.6,4.0,1971
13,2,4.0026,0,49.171,7.4777,1.3,1979
14,2,4.0026,0,55.835,7.1654,1.3,1979
15,2,4.0026,0,57.5,7.4011,1.3,1979
16,2,4.0026,0,57.793,7.2531,1.3,1979
17,2,4.0026,0,59.015,7.0844,1.3,1979
18,2,4.0026,0,69.351,7.5498,1.3,1979
19,2,4.0026,0,77.984,7.3999,1.3,1979
20,2,4.0026,0,86.893,7.3015,1.3,1979
21,2,4.0026,0,94.332,7.3391,1.3,1979
22,2,4.0026,0,152.772,6.5587,1.3,1979
23,2,4.0026,0,158.512,6.5581,1.3,1979
24,2,4.0026,0,196.402,5.7823,1.3,1979
25,2,4.0026,0,247.076,4.9139,1.3,1979
26,2,4.0026,0,298.209,4.4302,1.3,1979
27,2,4.0026,0,391.975,3.6246,1.3,1979
28,2,4.0026,0,495.377,3.0867,1.3,1979
29,2,4.0026,0,588.269,2.7593,1.3,1979
30,2,4.0026,0,441.0,2.79,20.0,2014
31,2,4.0026,0,37.624,6.1506,10.0,1942
32,2,4.0026,0,47.881,6.0187,10.0,1942
33,2,4.0026,0,57.767,5.248,10.0,1942
34,2,4.0026,0,68.102,5.3028,10.0,1942
35,2,4.0026,0,78.2,5.0185,10.0,1942
36,2,4.0026,0,88.245,4.8137,10.0,1942
37,2,4.0026,0,97.887,4.7632,10.0,1942
38,2,4.0026,0,108.133,4.8918,10.0,1942
39,2,4.0026,0,118.019,4.9424,10.0,1942
40,2,4.0026,0,127.956,4.9136,10.0,1942
41,2,4.0026,0,138.104,4.969,10.0,1942
42,2,4.0026,0,148.257,5.1942,10.0,1942
43,2,4.0026,0,158.142,5.0466,10.0,1942
44,2,4.0026,0,167.884,4.8598,10.0,1942
45,2,4.0026,0,2.97,0.441,9.0,1991
46,2,4.0026,0,3.01,0.502,9.0,1991
47,2,4.0026,0,3.5,0.532,9.0,1991
48,2,4.0026,0,3.52,0.606,9.0,1991
49,2,4.0026,0,3.95,0.714,9.0,1991
