ion_Z,target_name,target_Z,target_A,phase,energy,stopping_power,percentage_error,publication_year,ref_id,citation_reference,doi
1,He,2,4.0026,g,66,7.0251,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,85,7.0583,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,96,7.065,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,154,6.2275,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,200,5.5629,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,300,4.3533,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,400,3.6156,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,500,3.0772,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,600,2.6917,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,700,2.4126,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,800,2.2066,2,1983,Ba1983a,H.Baumgart.W.Arnold.H.Berg.E.Huttel and G.Clausnitzer Nucl.Instrum.Methods Phys.Res. 204.597,10.1016/0167-5087(83)90093-5
1,He,2,4.0026,g,100,7.02,4,1971,Bp1971,E.Bonderup and P.Hvelplund Phys.Rev. A4.562,10.1103/physreva.4.562
1,He,2,4.0026,g,200,5.6,4,1971,Bp1971,E.Bonderup and P.Hvelplund Phys.Rev. A4.562,10.1103/physreva.4.562
1,He,2,4.0026,g,49.171,7.4777,1.3,1979,Bs1979,F.Besenbacher.H.H.Andersen.P.Hvelplund and H.Knudsen Mat.-Fys.Medd.K.Dan.Vidensk.Selsk 40.No.3,10.1017/s0009840x00089137
